,name,location,2011,2012,2013,2014,2015,2016,2017,2018
68,"University of California, Santa Cruz",United States,99.6,99.9,99.9,99.9,100.0,99.9,99.8,99.9
69,Yeshiva University,United States,74.4,75.3,78.8,77.5,77.8,92.8,,
70,University of Sydney,Australia,64.3,57.2,62.9,66.6,69.0,77.5,83.2,85.9
71,University of Virginia,United States,68.6,74.7,73.5,77.5,76.9,87.3,86.6,89.3
72,University of Adelaide,Australia,90.5,43.8,55.9,56.8,61.1,72.4,78.8,85.3
73,University of Southern California,United States,71.9,80.2,81.9,81.2,81.3,93.0,94.7,95.6
74,William & Mary,United States,95.6,90.7,87.1,73.6,78.7,85.0,82.2,84.6
75,Trinity College Dublin,Ireland,84.4,91.7,88.1,85.4,77.6,75.8,75.4,79.0
76,King’s College London,United Kingdom,72.1,80.9,82.8,87.6,88.3,93.8,93.5,94.4
77,Stony Brook University,United States,85.8,88.3,82.9,80.3,80.4,83.0,86.8,84.4
78,University of Sussex,United Kingdom,91.6,92.0,91.1,86.3,92.8,86.1,88.1,89.5
79,Korea Advanced Institute of Science and Technology (KAIST),South Korea,45.5,47.1,58.4,67.0,71.4,75.9,78.5,70.4
80,University of York,United Kingdom,81.9,71.6,83.4,89.4,90.5,73.1,79.8,81.6
81,University of Queensland,Australia,69.0,70.2,69.6,73.3,74.2,82.4,86.1,87.8
82,Heidelberg University,Germany,70.3,78.5,75.5,76.0,81.4,88.2,90.8,94.2
83,University of Utah,United States,72.0,82.3,81.0,76.6,75.0,83.7,86.7,88.5
84,Durham University,United Kingdom,91.0,96.2,93.3,88.2,88.9,87.7,85.0,84.6
85,London School of Economics and Political Science,United Kingdom,51.6,50.6,66.5,69.2,71.3,94.3,96.3,94.9
86,University of Manchester,United Kingdom,59.2,75.6,76.9,77.3,74.3,77.3,82.3,84.3
87,"Royal Holloway, University of London",United Kingdom,93.2,98.2,99.0,97.5,98.9,91.2,84.5,85.0
88,Lund University,Sweden,67.6,72.8,77.1,72.0,74.9,81.3,83.2,85.9
89,Wake Forest University,United States,79.2,86.1,89.1,85.1,81.3,94.8,92.6,91.4
90,University of Zurich,Switzerland,65.0,78.4,80.0,78.1,81.4,85.4,87.5,87.0
91,University of Southampton,United Kingdom,72.9,72.5,79.2,75.4,79.7,82.0,82.8,86.0
92,McMaster University,Canada,68.5,85.5,81.7,79.4,78.8,84.9,82.3,89.9
93,University College Dublin,Ireland,86.3,80.5,74.9,77.0,61.7,70.8,72.5,74.0
94,University of Arizona,United States,70.1,78.3,76.9,74.6,74.0,79.5,83.2,85.4
95,University of Basel,Switzerland,78.3,86.0,87.8,81.4,81.4,88.3,92.4,91.0
96,George Washington University,United States,70.2,73.2,77.1,65.9,70.0,65.7,70.7,77.2
97,"University of Maryland, College Park",United States,79.2,85.8,83.9,84.4,83.6,88.2,91.1,93.5
98,Dartmouth College,United States,79.7,89.9,87.0,83.6,80.4,93.3,94.2,93.4
99,École Normale Supérieure de Lyon,France,88.8,85.1,79.6,67.7,73.0,69.0,64.5,80.9
100,Technical University of Munich,Germany,71.2,76.3,76.5,80.7,78.8,80.1,82.0,88.4
101,University of Helsinki,Finland,75.4,75.1,77.7,77.8,79.0,82.1,83.5,86.9
102,University of St Andrews,United Kingdom,72.9,83.0,76.6,77.3,81.4,78.8,80.3,76.6
103,Rensselaer Polytechnic Institute,United States,64.9,73.6,73.0,71.5,67.8,65.1,67.3,71.7
104,"Rutgers, the State University of New Jersey",United States,55.7,69.0,69.5,70.4,71.0,75.4,77.9,79.7
105,Purdue University,United States,43.9,57.8,63.1,67.0,62.2,63.2,69.0,73.4
106,University of Cape Town,South Africa,82.8,75.3,79.7,84.6,86.6,85.6,87.3,87.0
107,National Tsing Hua University,Taiwan,66.9,39.7,44.4,44.7,49.1,53.0,55.8,59.4
108,Seoul National University,South Korea,54.6,44.0,48.0,47.3,48.7,50.0,58.8,60.6
109,Pennsylvania State University,United States,77.6,83.4,81.4,79.4,76.0,80.5,82.9,81.6
110,Hong Kong Baptist University,Hong Kong,97.6,59.7,57.6,65.3,70.8,67.9,67.4,66.9
