,location,name,nid,rank,rank_order,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,percentage_male,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url,male_students
10,United States,University of Pennsylvania,480,=10,11,98.5,22,56.9,213,61.3,300,87.7,90.1,11,83.7,10,50.0,20361,20%,6.5,"Physics & Astronomy,Politics & International Studies (incl Development Studies),Psychology,Sociology,Geography,Mathematics & Statistics,Chemistry,Veterinary Science,Computer Science,Mechanical & Aerospace Engineering,Business & Management,Accounting & Finance,Chemical Engineering,Law,Languages, Literature & Linguistics,Education,Architecture,General Engineering,History, Philosophy & Theology,Other Health,Electrical & Electronic Engineering,Art, Performing Arts & Design,Medicine & Dentistry,Biological Sciences,Archaeology,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Economics & Econometrics",/world-university-rankings/university-pennsylvania,10180.0
11,United States,Yale University,475,12,12,98.4,24,45.1,361,64.6,272,87.6,87.0,17,86.7,6,51.0,12155,21%,4.3,"Agriculture & Forestry,Economics & Econometrics,Business & Management,Art, Performing Arts & Design,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,General Engineering,Archaeology,Architecture,Physics & Astronomy,Other Health,Biological Sciences,Electrical & Electronic Engineering,Chemistry,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Psychology,Sociology,Chemical Engineering,Law,Computer Science,Politics & International Studies (incl Development Studies)",/world-university-rankings/yale-university,6199.0
12,United States,Johns Hopkins University,478,13,13,98.4,23,95.8,41,70.6,219,86.5,88.1,16,76.1,23,48.0,15498,24%,4.3,"Accounting & Finance,History, Philosophy & Theology,Psychology,Biological Sciences,Business & Management,Other Health,General Engineering,Physics & Astronomy,Geography,Chemistry,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Computer Science,Civil Engineering,Economics & Econometrics,Politics & International Studies (incl Development Studies),Sociology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Education,Mechanical & Aerospace Engineering,Communication & Media Studies,Archaeology,Electrical & Electronic Engineering,Chemical Engineering,Medicine & Dentistry",/world-university-rankings/johns-hopkins-university,7439.0
13,United States,Columbia University,476,14,14,98.8,19,41.3,439,76.6,177,86.0,83.3,26,82.2,12,47.0,26587,32%,6.1,"Medicine & Dentistry,Other Health,Communication & Media Studies,General Engineering,Sociology,Law,Mathematics & Statistics,Accounting & Finance,Languages, Literature & Linguistics,Physics & Astronomy,History, Philosophy & Theology,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Architecture,Economics & Econometrics,Chemistry,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Computer Science,Business & Management,Civil Engineering,Politics & International Studies (incl Development Studies),Education,Electrical & Electronic Engineering,Archaeology,Chemical Engineering,Geography,Psychology",/world-university-rankings/columbia-university,
14,United States,"University of California, Los Angeles",477,15,15,97.9,27,48.6,298,59.5,326,85.7,88.1,15,80.7,14,47.0,39279,17%,9.6,"Other Health,Education,Electrical & Electronic Engineering,History, Philosophy & Theology,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Sociology,Languages, Literature & Linguistics,Chemical Engineering,Architecture,Biological Sciences,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Computer Science,Business & Management,Mathematics & Statistics,Civil Engineering,Mechanical & Aerospace Engineering,Chemistry,Law,Geography,Psychology,Physics & Astronomy",/world-university-rankings/university-california-los-angeles,18461.0
15,United Kingdom,UCL,481,16,16,94.6,56,41.2,442,94.6,25,85.3,88.2,13,74.4,25,44.0,30304,49%,10.5,"Law,Archaeology,History, Philosophy & Theology,Business & Management,Economics & Econometrics,Architecture,Electrical & Electronic Engineering,Medicine & Dentistry,Chemical Engineering,Education,Mechanical & Aerospace Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Psychology,Chemistry,Geography,Mathematics & Statistics,Art, Performing Arts & Design,Languages, Literature & Linguistics,Civil Engineering,Other Health,General Engineering,Computer Science",/world-university-rankings/ucl,13333.0
16,United States,Duke University,487,17,17,98.3,25,100.0,1,62.5,292,85.1,80.6,27,80.7,15,51.0,15256,22%,4.5,"Medicine & Dentistry,Electrical & Electronic Engineering,Physics & Astronomy,General Engineering,Psychology,Education,Chemistry,Civil Engineering,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Computer Science,Law,Sociology,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Other Health,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,History, Philosophy & Theology,Economics & Econometrics,Biological Sciences",/world-university-rankings/duke-university,7780.0
17,United States,"University of California, Berkeley",474,18,18,99.8,5,37.5,587,64.5,273,84.3,84.5,24,77.4,18,48.0,36182,17%,13.1,"Education,Civil Engineering,Chemical Engineering,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Sociology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Other Health,General Engineering,Biological Sciences,Psychology,Geography,Physics & Astronomy,Chemistry,Mathematics & Statistics,Languages, Literature & Linguistics,Business & Management,Computer Science,Archaeology,Mechanical & Aerospace Engineering,Law,Communication & Media Studies,Art, Performing Arts & Design,History, Philosophy & Theology,Architecture,Agriculture & Forestry",/world-university-rankings/university-california-berkeley,17367.0
18,United States,Cornell University,484,19,19,97.6,28,34.6,750,69.2,233,84.2,86.6,19,76.2,22,51.0,21850,24%,9.8,"Chemistry,Architecture,Agriculture & Forestry,Veterinary Science,Psychology,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Archaeology,Computer Science,Chemical Engineering,Biological Sciences,Other Health,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Mathematics & Statistics,Communication & Media Studies,History, Philosophy & Theology,Languages, Literature & Linguistics,Civil Engineering,Sociology,Business & Management,Law,Politics & International Studies (incl Development Studies),Economics & Econometrics",/world-university-rankings/cornell-university,11143.0
19,United States,Northwestern University,490,20,20,96.9,36,78.2,99,59.2,330,83.3,86.7,18,72.6,28,52.0,17466,18%,12.8,"Accounting & Finance,Chemical Engineering,Communication & Media Studies,Sociology,Law,Biological Sciences,General Engineering,Electrical & Electronic Engineering,Psychology,Medicine & Dentistry,Geography,History, Philosophy & Theology,Chemistry,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Other Health,Education,Physics & Astronomy,Economics & Econometrics,Business & Management,Computer Science,Mathematics & Statistics,Civil Engineering",/world-university-rankings/northwestern-university,9082.0
