,location,name,nid,rank,rank_order,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,percentage_male,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url,male_students
147,United Kingdom,University of Nottingham,604,=147,148,80.5,204,38.5,545,84.4,107,56.2,41.9,166,40.5,178,46.0,29176,30%,14.0,"Physics & Astronomy,Chemistry,Other Health,Geography,Geology, Environmental, Earth & Marine Sciences,Psychology,Mathematics & Statistics,Civil Engineering,Computer Science,Sociology,Business & Management,Politics & International Studies (incl Development Studies),Law,Languages, Literature & Linguistics,Economics & Econometrics,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Communication & Media Studies,Veterinary Science,Accounting & Finance,Agriculture & Forestry,Architecture,Electrical & Electronic Engineering,Archaeology,Medicine & Dentistry,Chemical Engineering",/world-university-rankings/university-nottingham,13420.0
148,United Kingdom,University of Sussex,563,=147,149,89.5,103,33.3,860,91.5,54,56.2,38.1,208,34.1,286,45.0,12384,38%,15.4,"Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Psychology,Medicine & Dentistry,Accounting & Finance,Mechanical & Aerospace Engineering,Economics & Econometrics,Computer Science,Sociology,Business & Management,Languages, Literature & Linguistics,Biological Sciences,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,History, Philosophy & Theology,Law,Mathematics & Statistics,Education,Other Health,Physics & Astronomy,General Engineering,Chemistry,Geography",/world-university-rankings/university-sussex,5572.0
149,United Kingdom,Lancaster University,595,=150,150,83.2,172,33.7,820,91.1,57,55.9,40.5,182,37.0,224,49.0,11637,38%,13.1,"Computer Science,Medicine & Dentistry,Mathematics & Statistics,Art, Performing Arts & Design,Geography,Communication & Media Studies,Psychology,Accounting & Finance,Education,Languages, Literature & Linguistics,Law,History, Philosophy & Theology,Sociology,Politics & International Studies (incl Development Studies),Chemical Engineering,Electrical & Electronic Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Business & Management,Mechanical & Aerospace Engineering,Physics & Astronomy,Economics & Econometrics,Chemistry,General Engineering",/world-university-rankings/lancaster-university,5702.0
150,United States,University of Notre Dame,553,=150,151,83.0,175,35.3,708,50.7,436,55.9,37.9,209,49.8,91,55.0,11912,11%,13.4,"Computer Science,Politics & International Studies (incl Development Studies),Law,Business & Management,Sociology,Accounting & Finance,General Engineering,Languages, Literature & Linguistics,Art, Performing Arts & Design,Economics & Econometrics,Mechanical & Aerospace Engineering,Geography,Psychology,Physics & Astronomy,Architecture,History, Philosophy & Theology,Chemical Engineering,Chemistry,Civil Engineering,Electrical & Electronic Engineering,Mathematics & Statistics,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Education",/world-university-rankings/university-notre-dame-0,6551.0
151,Switzerland,University of Lausanne,580,152,152,78.5,228,78.4,98,90.8,59,55.7,47.4,131,30.4,375,45.0,13065,25%,13.6,"Accounting & Finance,Sport Science,Computer Science,Economics & Econometrics,Sociology,Geography,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Archaeology,Languages, Literature & Linguistics,History, Philosophy & Theology,Business & Management,Other Health,Psychology,Law,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-lausanne,
152,Denmark,Technical University of Denmark,643,=153,153,81.6,189,63.8,168,91.6,52,55.6,39.5,195,35.9,241,71.0,8548,24%,6.0,"Other Health,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Civil Engineering,Chemistry,General Engineering,Biological Sciences,Mathematics & Statistics,Veterinary Science,Computer Science,Mechanical & Aerospace Engineering,Chemical Engineering,Electrical & Electronic Engineering",/world-university-rankings/technical-university-denmark,6069.0
153,United States,University of Rochester,545,=153,154,90.2,93,39.5,498,63.7,279,55.6,34.2,252,41.7,167,51.0,9636,29%,4.3,"Mechanical & Aerospace Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Accounting & Finance,Business & Management,Medicine & Dentistry,Chemistry,Archaeology,Electrical & Electronic Engineering,Other Health,Psychology,General Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Mathematics & Statistics,Economics & Econometrics,Politics & International Studies (incl Development Studies),Computer Science,History, Philosophy & Theology,Education,Art, Performing Arts & Design,Chemical Engineering",/world-university-rankings/university-rochester,4914.0
154,Italy,Scuola Superiore Sant’Anna,131267,=155,155,88.0,124,87.8,66,48.3,478,55.5,36.0,229,41.6,168,63.0,690,14%,11.7,"Computer Science,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,General Engineering,Biological Sciences,Agriculture & Forestry,Law,Economics & Econometrics,Mechanical & Aerospace Engineering",/world-university-rankings/scuola-superiore-santanna,434.0
155,Germany,TU Dresden,720,=155,156,74.2,277,95.0,43,52.6,413,55.5,46.9,135,42.8,153,58.0,34514,13%,35.9,"Mathematics & Statistics,Languages, Literature & Linguistics,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Agriculture & Forestry,History, Philosophy & Theology,Psychology,Law,Computer Science,Chemistry,Medicine & Dentistry,Architecture,Education,Biological Sciences,Economics & Econometrics,Electrical & Electronic Engineering,Geography,General Engineering,Business & Management,Sociology,Communication & Media Studies,Physics & Astronomy,Civil Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/tu-dresden,20018.0
156,Germany,Ulm University,687,=155,157,90.0,96,77.3,103,56.5,357,55.5,37.4,215,37.1,222,52.0,10657,13%,28.4,"Physics & Astronomy,Biological Sciences,Communication & Media Studies,Economics & Econometrics,Psychology,Computer Science,Chemistry,Mathematics & Statistics,Accounting & Finance,Other Health,Medicine & Dentistry,Education,Business & Management,Electrical & Electronic Engineering",/world-university-rankings/ulm-university,5541.0
157,United States,Case Western Reserve University,557,158,158,90.1,94,36.7,626,46.1,514,55.2,34.9,242,44.4,134,51.0,10130,19%,7.1,"Chemistry,Medicine & Dentistry,Computer Science,Economics & Econometrics,Mathematics & Statistics,Business & Management,Physics & Astronomy,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Civil Engineering,Law,Chemical Engineering,Education,Electrical & Electronic Engineering,Psychology,Other Health,Sociology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Languages, Literature & Linguistics,Accounting & Finance",/world-university-rankings/case-western-reserve-university,5166.0
158,United Kingdom,University of Leicester,662,=159,159,91.4,81,35.2,715,89.9,66,55.0,34.5,248,32.2,336,46.0,14635,38%,14.1,"Education,Mathematics & Statistics,Biological Sciences,Physics & Astronomy,General Engineering,Psychology,Geology, Environmental, Earth & Marine Sciences,Geography,Chemistry,Computer Science,Economics & Econometrics,Art, Performing Arts & Design,Sociology,Politics & International Studies (incl Development Studies),Business & Management,Languages, Literature & Linguistics,Law,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Accounting & Finance,Communication & Media Studies,Medicine & Dentistry,Archaeology,Electrical & Electronic Engineering",/world-university-rankings/university-leicester,6732.0
159,United States,Texas A&M University,629,=159,160,60.2,440,41.2,446,52.0,419,55.0,56.3,84,50.4,88,52.0,56245,9%,23.6,"Education,Architecture,Electrical & Electronic Engineering,Chemistry,Biological Sciences,Other Health,Sport Science,General Engineering,Geology, Environmental, Earth & Marine Sciences,Psychology,Physics & Astronomy,Geography,Mathematics & Statistics,Computer Science,Sociology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Law,Civil Engineering,Business & Management,Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design,Accounting & Finance,Communication & Media Studies,Mechanical & Aerospace Engineering,Veterinary Science,Chemical Engineering,Agriculture & Forestry",/world-university-rankings/texas-am-university,29247.0
160,United States,University of Arizona,561,161,161,85.4,151,46.1,334,43.3,560,54.9,38.7,201,44.3,136,48.0,38334,9%,13.0,"Chemistry,Chemical Engineering,Law,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Computer Science,Sociology,Psychology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Other Health,Geography,Physics & Astronomy,Electrical & Electronic Engineering,Mathematics & Statistics,Biological Sciences,Communication & Media Studies,Accounting & Finance,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,History, Philosophy & Theology,Education,Art, Performing Arts & Design,Veterinary Science,Architecture,Agriculture & Forestry,Business & Management,General Engineering",/world-university-rankings/university-arizona,18400.0
161,United States,"University of California, Santa Cruz",574,=162,162,99.9,3,38.2,560,51.6,425,54.8,35.0,238,31.5,345,48.0,17866,4%,23.0,"Communication & Media Studies,Psychology,Agriculture & Forestry,Computer Science,Physics & Astronomy,Other Health,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Mathematics & Statistics,Chemistry,Politics & International Studies (incl Development Studies),Law,Sociology,Economics & Econometrics,Business & Management,Art, Performing Arts & Design,Languages, Literature & Linguistics,History, Philosophy & Theology,Education,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/university-california-santa-cruz,8575.0
162,United Kingdom,Cardiff University,671,=162,163,84.5,163,35.5,696,80.6,132,54.8,39.3,196,35.8,244,42.0,24186,26%,13.5,"Architecture,Psychology,Geography,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Chemistry,Mathematics & Statistics,Civil Engineering,Computer Science,Sociology,Economics & Econometrics,Law,Business & Management,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Education,Archaeology,Electrical & Electronic Engineering,Accounting & Finance,Medicine & Dentistry,Communication & Media Studies,General Engineering,Other Health,Physics & Astronomy",/world-university-rankings/cardiff-university,10158.0
163,Germany,University of Erlangen-Nuremberg,870,=162,164,77.6,236,95.9,39,53.0,403,54.8,44.0,148,39.8,192,51.0,38730,12%,58.5,"History, Philosophy & Theology,Psychology,Education,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Sociology,Computer Science,Mathematics & Statistics,Languages, Literature & Linguistics,Chemistry,Medicine & Dentistry,Physics & Astronomy,Communication & Media Studies,General Engineering,Biological Sciences,Electrical & Electronic Engineering,Chemical Engineering,Archaeology,Economics & Econometrics,Business & Management,Accounting & Finance,Law,Politics & International Studies (incl Development Studies),Sport Science,Geography,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-erlangen-nuremberg,19752.0
164,Austria,University of Vienna,603,=165,165,66.0,372,33.2,871,93.4,32,54.7,47.6,130,42.6,155,34.0,35375,26%,20.8,"Computer Science,Law,Politics & International Studies (incl Development Studies),Other Health,Communication & Media Studies,Chemistry,Sport Science,Physics & Astronomy,Archaeology,Accounting & Finance,Education,Biological Sciences,Business & Management,Geography,History, Philosophy & Theology,Psychology,Sociology,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Economics & Econometrics,Languages, Literature & Linguistics",/world-university-rankings/university-vienna,12027.0
165,Netherlands,Vrije Universiteit Amsterdam,625,=165,166,89.1,108,56.3,217,60.7,312,54.7,40.7,180,32.5,329,44.0,24554,7%,18.1,"Communication & Media Studies,Art, Performing Arts & Design,Veterinary Science,Business & Management,History, Philosophy & Theology,Economics & Econometrics,Law,Languages, Literature & Linguistics,Chemistry,Computer Science,Accounting & Finance,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Other Health,Physics & Astronomy,Medicine & Dentistry,Sociology,Sport Science,Geography,Psychology,Agriculture & Forestry,Archaeology,Biological Sciences,Mathematics & Statistics,Education",/world-university-rankings/vrije-universiteit-amsterdam,10803.0
166,Germany,University of Würzburg,691,=165,167,86.5,141,46.1,338,53.7,392,54.7,42.8,157,35.8,247,43.0,22537,9%,33.9,"Geography,Law,Economics & Econometrics,Medicine & Dentistry,Art, Performing Arts & Design,Languages, Literature & Linguistics,Education,Communication & Media Studies,Biological Sciences,Psychology,Other Health,Archaeology,Sociology,Chemistry,Business & Management,Mathematics & Statistics,Physics & Astronomy,History, Philosophy & Theology,Sport Science,Geology, Environmental, Earth & Marine Sciences,Computer Science,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-wurzburg,9690.0
167,United States,University of Alabama at Birmingham,591755,168,168,95.1,51,67.6,150,34.6,695,54.6,32.8,270,39.7,193,39.0,15703,6%,15.2,"General Engineering,Economics & Econometrics,Medicine & Dentistry,Education,Art, Performing Arts & Design,Chemical Engineering,Electrical & Electronic Engineering,Accounting & Finance,Computer Science,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,History, Philosophy & Theology,Business & Management,Sociology,Languages, Literature & Linguistics,Other Health,Geography,Civil Engineering,Psychology,Biological Sciences,Mathematics & Statistics,Physics & Astronomy,Chemistry,Communication & Media Studies",/world-university-rankings/university-alabama-birmingham,6124.0
168,China,Nanjing University,727,=169,169,64.9,388,77.8,101,54.4,384,54.5,47.0,133,49.6,94,50.0,33456,10%,14.2,"Archaeology,Economics & Econometrics,General Engineering,Sociology,Computer Science,Physics & Astronomy,Chemistry,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,History, Philosophy & Theology,Accounting & Finance,Communication & Media Studies,Business & Management,Mechanical & Aerospace Engineering,Architecture,Medicine & Dentistry",/world-university-rankings/nanjing-university,16728.0
169,United States,Tufts University,542,=169,170,88.1,121,36.7,631,52.7,410,54.5,33.4,262,44.1,138,46.0,10463,16%,9.3,"Architecture,Politics & International Studies (incl Development Studies),Computer Science,Physics & Astronomy,Civil Engineering,History, Philosophy & Theology,Medicine & Dentistry,Languages, Literature & Linguistics,Veterinary Science,Economics & Econometrics,Education,General Engineering,Communication & Media Studies,Other Health,Chemistry,Law,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Sociology,Chemical Engineering,Biological Sciences,Electrical & Electronic Engineering,Psychology,Mathematics & Statistics",/world-university-rankings/tufts-university,4812.0
170,South Africa,University of Cape Town,567,171,171,87.0,133,88.5,62,81.1,126,54.4,36.2,225,30.5,372,47.0,20775,18%,11.7,"Law,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Languages, Literature & Linguistics,Accounting & Finance,Computer Science,Archaeology,Medicine & Dentistry,Other Health,History, Philosophy & Theology,Sociology,Education,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Chemistry,Electrical & Electronic Engineering,Architecture,Psychology,Physics & Astronomy,Chemical Engineering,Geography,General Engineering",/world-university-rankings/university-cape-town,9764.0
171,United States,"Rutgers, the State University of New Jersey",546,172,172,79.7,214,36.9,621,39.2,622,54.3,45.3,143,43.0,148,48.0,43439,10%,11.1,"General Engineering,Education,Biological Sciences,Medicine & Dentistry,Accounting & Finance,Business & Management,Languages, Literature & Linguistics,Communication & Media Studies,Civil Engineering,Geography,Art, Performing Arts & Design,Sociology,Politics & International Studies (incl Development Studies),Economics & Econometrics,Computer Science,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Physics & Astronomy,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Sport Science,Chemistry,Other Health,Mathematics & Statistics,Electrical & Electronic Engineering,Psychology,Architecture,Archaeology,Agriculture & Forestry",/world-university-rankings/rutgers-state-university-new-jersey-0,20850.0
172,Sweden,KTH Royal Institute of Technology,651,=173,173,67.0,364,50.9,272,83.7,111,54.2,46.3,138,42.3,158,67.0,12951,17%,16.0,"Computer Science,Education,Architecture,Civil Engineering,Biological Sciences,History, Philosophy & Theology,Other Health,Chemical Engineering,Communication & Media Studies,Economics & Econometrics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Chemistry,Mechanical & Aerospace Engineering,General Engineering,Mathematics & Statistics,Physics & Astronomy,Business & Management",/world-university-rankings/kth-royal-institute-technology,8677.0
173,Germany,University of Münster,756,=173,174,81.2,195,60.8,185,47.7,489,54.2,42.1,161,40.3,181,47.0,42287,7%,42.6,"Archaeology,Other Health,Art, Performing Arts & Design,Psychology,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Geography,Languages, Literature & Linguistics,Economics & Econometrics,Sociology,Biological Sciences,Mathematics & Statistics,Sport Science,Chemistry,Communication & Media Studies,Physics & Astronomy,Computer Science,Politics & International Studies (incl Development Studies),Law,Education,Medicine & Dentistry",/world-university-rankings/university-munster,19874.0
174,Belgium,Université Libre de Bruxelles,669,=175,175,80.4,205,48.4,302,83.2,114,54.0,42.2,160,32.4,332,45.0,25343,35%,43.4,"Agriculture & Forestry,Politics & International Studies (incl Development Studies),Communication & Media Studies,Economics & Econometrics,Law,Chemistry,Sociology,Mathematics & Statistics,Accounting & Finance,Psychology,Computer Science,Physics & Astronomy,Chemical Engineering,History, Philosophy & Theology,Veterinary Science,General Engineering,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Other Health,Civil Engineering,Architecture,Electrical & Electronic Engineering,Education,Sport Science,Art, Performing Arts & Design,Medicine & Dentistry,Business & Management,Languages, Literature & Linguistics,Geography,Archaeology",/world-university-rankings/universite-libre-de-bruxelles,11404.0
175,United Kingdom,Newcastle University,610,=175,176,80.6,201,41.6,427,86.7,89,54.0,40.8,176,33.4,304,51.0,20952,30%,15.6,"Sport Science,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Psychology,Geography,Civil Engineering,Mathematics & Statistics,Computer Science,Politics & International Studies (incl Development Studies),Sociology,Law,Economics & Econometrics,History, Philosophy & Theology,Business & Management,Languages, Literature & Linguistics,Art, Performing Arts & Design,Education,Mechanical & Aerospace Engineering,Accounting & Finance,Communication & Media Studies,Other Health,Archaeology,Medicine & Dentistry,Chemistry,Electrical & Electronic Engineering,Biological Sciences,Chemical Engineering,Agriculture & Forestry,Architecture",/world-university-rankings/newcastle-university,10685.0
176,United Kingdom,University of Liverpool,646,=177,177,86.8,136,37.1,610,89.9,67,53.9,34.7,245,32.7,318,46.0,19815,35%,11.7,"Psychology,Sociology,Chemistry,Economics & Econometrics,Computer Science,Archaeology,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Communication & Media Studies,Law,Accounting & Finance,Biological Sciences,Other Health,General Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Art, Performing Arts & Design,History, Philosophy & Theology,Architecture,Veterinary Science,Medicine & Dentistry,Mechanical & Aerospace Engineering,Geography,Physics & Astronomy,Electrical & Electronic Engineering,Mathematics & Statistics,Civil Engineering",/world-university-rankings/university-liverpool,9114.0
177,China,Zhejiang University,815,=177,178,45.1,565,89.4,57,25.2,845,53.9,63.7,60,57.0,63,78.0,50051,6%,14.1,"Architecture,Sport Science,Veterinary Science,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Medicine & Dentistry,Biological Sciences,Chemical Engineering,Archaeology,Physics & Astronomy,Mathematics & Statistics,Other Health,Chemistry,Geology, Environmental, Earth & Marine Sciences,General Engineering,Psychology,Geography,Civil Engineering,Economics & Econometrics,Computer Science,Languages, Literature & Linguistics,Law,Sociology,Business & Management,Art, Performing Arts & Design,History, Philosophy & Theology,Education,Mechanical & Aerospace Engineering,Accounting & Finance,Communication & Media Studies,Agriculture & Forestry",/world-university-rankings/zhejiang-university,39039.0
178,Luxembourg,University of Luxembourg,131698,=179,179,91.9,78,39.6,494,99.8,1,53.8,32.4,275,26.8,475,50.0,4969,57%,14.6,"Geography,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Biological Sciences,History, Philosophy & Theology,Mathematics & Statistics,Languages, Literature & Linguistics,Accounting & Finance,Law,Medicine & Dentistry,Business & Management,Education,Electrical & Electronic Engineering,General Engineering,Psychology,Civil Engineering,Computer Science,Economics & Econometrics,Physics & Astronomy",/world-university-rankings/university-luxembourg,2484.0
179,Netherlands,University of Twente,664,=179,180,68.5,343,83.6,79,85.3,97,53.8,47.0,134,35.5,257,63.0,6697,27%,12.8,"Sociology,Computer Science,Chemistry,Mathematics & Statistics,History, Philosophy & Theology,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Communication & Media Studies,Physics & Astronomy,Civil Engineering,Education,Business & Management,Psychology,Other Health,Electrical & Electronic Engineering,General Engineering",/world-university-rankings/university-twente,4219.0
180,France,Paris-Sud University,867,181,181,86.8,138,32.3,972,63.5,281,53.7,33.1,265,40.4,180,45.0,27221,16%,14.5,"Mathematics & Statistics,General Engineering,Sport Science,Politics & International Studies (incl Development Studies),Other Health,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Education,Business & Management,Electrical & Electronic Engineering,Chemistry,Computer Science,Law,Physics & Astronomy,Economics & Econometrics,Biological Sciences,Medicine & Dentistry,Chemical Engineering,Mechanical & Aerospace Engineering,Civil Engineering",/world-university-rankings/paris-sud-university,12249.0
181,France,École Normale Supérieure de Lyon,605,=182,182,80.9,197,37.9,571,67.3,246,53.6,37.8,210,40.1,185,53.0,2221,13%,8.5,"Archaeology,Geology, Environmental, Earth & Marine Sciences,Geography,Chemistry,History, Philosophy & Theology,Mathematics & Statistics,Art, Performing Arts & Design,Sociology,Politics & International Studies (incl Development Studies),Physics & Astronomy,Biological Sciences,Languages, Literature & Linguistics,Education,Computer Science",/world-university-rankings/ecole-normale-superieure-de-lyon,1177.0
182,Hong Kong,Hong Kong Polytechnic University,723,=182,183,67.7,357,45.8,343,79.9,139,53.6,48.1,126,39.1,197,49.0,21773,25%,26.9,"Economics & Econometrics,Business & Management,Agriculture & Forestry,Accounting & Finance,Architecture,Electrical & Electronic Engineering,Sociology,Geology, Environmental, Earth & Marine Sciences,Psychology,Chemistry,History, Philosophy & Theology,Other Health,Mathematics & Statistics,Chemical Engineering,Biological Sciences,Geography,Civil Engineering,General Engineering,Physics & Astronomy,Computer Science,Languages, Literature & Linguistics,Art, Performing Arts & Design,Mechanical & Aerospace Engineering",/world-university-rankings/hong-kong-polytechnic-university,10668.0
183,Italy,Scuola Normale Superiore di Pisa,1019,184,184,75.4,256,37.7,582,49.4,460,53.4,33.3,263,53.7,74,70.0,515,7%,5.2,"Mathematics & Statistics,Sociology,Biological Sciences,Archaeology,Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Physics & Astronomy,Chemistry",/world-university-rankings/scuola-normale-superiore-di-pisa,360.0
184,United Kingdom,University of Aberdeen,615,185,185,87.1,131,41.9,420,93.3,33,53.3,33.6,258,30.3,377,45.0,12055,36%,13.9,"Accounting & Finance,General Engineering,Education,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Chemistry,Biological Sciences,Agriculture & Forestry,Psychology,Sport Science,Mathematics & Statistics,Languages, Literature & Linguistics,Physics & Astronomy,Sociology,Chemical Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Communication & Media Studies,Archaeology,Business & Management,History, Philosophy & Theology,Geography,Computer Science,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Medicine & Dentistry,Civil Engineering,Law",/world-university-rankings/university-aberdeen,5424.0
185,United States,University of Miami,636,186,186,90.3,91,37.2,607,67.1,248,53.1,24.4,419,42.5,157,49.0,15860,16%,5.9,"Geology, Environmental, Earth & Marine Sciences,Business & Management,Economics & Econometrics,Chemical Engineering,Architecture,Electrical & Electronic Engineering,Biological Sciences,Accounting & Finance,Other Health,Sport Science,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Chemistry,Art, Performing Arts & Design,Law,Languages, Literature & Linguistics,Education,Mathematics & Statistics,General Engineering,Psychology,Communication & Media Studies,Physics & Astronomy,Geography,Civil Engineering,Mechanical & Aerospace Engineering,Sociology,Computer Science",/world-university-rankings/university-miami,7771.0
186,United Kingdom,University of Dundee,640,187,187,94.5,57,43.4,383,79.8,142,52.9,32.0,284,26.3,491,38.0,10893,24%,14.9,"Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Physics & Astronomy,Education,Electrical & Electronic Engineering,General Engineering,Geography,Art, Performing Arts & Design,Biological Sciences,Civil Engineering,Computer Science,Languages, Literature & Linguistics,Other Health,Medicine & Dentistry,Mathematics & Statistics,Architecture,Accounting & Finance,Psychology,Economics & Econometrics,Mechanical & Aerospace Engineering,Business & Management,Law",/world-university-rankings/university-dundee,4139.0
187,United Kingdom,University of East Anglia,609,=188,188,90.5,89,32.2,978,85.6,94,52.8,31.6,290,29.9,395,40.0,13521,30%,13.6,"Biological Sciences,Physics & Astronomy,Economics & Econometrics,Civil Engineering,Education,Sociology,Politics & International Studies (incl Development Studies),Computer Science,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Geography,Mechanical & Aerospace Engineering,Business & Management,Mathematics & Statistics,Law,Electrical & Electronic Engineering,History, Philosophy & Theology,Languages, Literature & Linguistics,Chemistry,Communication & Media Studies,Psychology,Other Health,Accounting & Finance,Sport Science,General Engineering",/world-university-rankings/university-east-anglia,5408.0
188,China,Shanghai Jiao Tong University,801,=188,189,44.1,573,88.9,60,33.4,717,52.8,62.5,67,53.5,76,59.0,37288,6%,12.4,"Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Accounting & Finance,Archaeology,Agriculture & Forestry,Business & Management,Architecture,Languages, Literature & Linguistics,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Biological Sciences,Law,Medicine & Dentistry,Other Health,Civil Engineering,Chemical Engineering,Electrical & Electronic Engineering,Economics & Econometrics,Psychology,Geography,Computer Science,Communication & Media Studies,Sociology,Sport Science,Physics & Astronomy,Mathematics & Statistics,Veterinary Science,Education,General Engineering,Chemistry,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/shanghai-jiao-tong-university,21999.0
189,Finland,Aalto University,767,190,190,79.5,215,52.5,249,72.5,204,52.7,35.8,232,37.8,210,66.0,12744,20%,20.2,"General Engineering,Mechanical & Aerospace Engineering,Business & Management,Physics & Astronomy,Economics & Econometrics,Mathematics & Statistics,Accounting & Finance,Art, Performing Arts & Design,Electrical & Electronic Engineering,Architecture,Chemical Engineering,Computer Science,Civil Engineering",/world-university-rankings/aalto-university,8411.0
190,United States,University of Massachusetts,528,191,191,88.8,112,51.0,269,54.8,379,52.6,32.2,280,36.3,237,51.0,59230,14%,13.3,"Chemistry,General Engineering,Geology, Environmental, Earth & Marine Sciences,Sport Science,Psychology,Physics & Astronomy,Sociology,Education,Languages, Literature & Linguistics,Business & Management,Other Health,Economics & Econometrics,Mathematics & Statistics,Computer Science,Civil Engineering,Accounting & Finance,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Chemical Engineering,Art, Performing Arts & Design,Communication & Media Studies,Archaeology,Veterinary Science,Electrical & Electronic Engineering,Architecture,Geography,Biological Sciences,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Law",/world-university-rankings/university-massachusetts,30207.0
191,New Zealand,University of Auckland,637,192,192,73.8,283,67.3,154,90.6,61,52.5,40.7,177,32.5,327,46.0,30348,29%,18.8,"Civil Engineering,Biological Sciences,Mathematics & Statistics,Archaeology,Sociology,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Accounting & Finance,Geography,Computer Science,Psychology,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Physics & Astronomy,Business & Management,General Engineering,Art, Performing Arts & Design,Other Health,Sport Science,Geology, Environmental, Earth & Marine Sciences,Chemistry,Education,Communication & Media Studies,Electrical & Electronic Engineering,Architecture,Chemical Engineering,Medicine & Dentistry,Economics & Econometrics,Law",/world-university-rankings/university-auckland,13960.0
