,name,location,2011,2012,2013,2014,2015,2016,2017,2018
68,"University of California, Santa Cruz",United States,16.7,29.8,32.5,39.4,54.6,45.6,48.7,51.6
69,Yeshiva University,United States,53.3,26.4,28.4,25.6,27.6,28.5,,
70,University of Sydney,Australia,89.6,88.1,83.0,84.8,83.6,84.4,83.7,84.6
71,University of Virginia,United States,42.2,26.4,27.9,30.2,31.8,43.4,44.6,46.5
72,University of Adelaide,Australia,87.5,81.7,82.2,78.2,79.3,85.1,86.3,86.6
73,University of Southern California,United States,31.2,41.1,43.4,43.4,42.7,56.3,62.7,63.0
74,William & Mary,United States,20.9,19.7,25.8,26.0,26.5,26.6,28.8,32.2
75,Trinity College Dublin,Ireland,84.2,89.4,84.5,85.9,83.9,90.8,90.4,92.1
76,King’s College London,United Kingdom,85.9,90.0,86.0,86.0,87.0,93.8,93.8,94.5
77,Stony Brook University,United States,52.2,56.5,52.8,57.8,60.5,53.2,55.6,58.7
78,University of Sussex,United Kingdom,72.8,79.8,76.7,80.1,83.6,88.3,88.8,91.5
79,Korea Advanced Institute of Science and Technology (KAIST),South Korea,36.7,29.3,31.1,34.3,34.9,33.9,34.3,35.6
80,University of York,United Kingdom,66.6,72.7,71.9,73.6,75.0,83.5,84.5,85.3
81,University of Queensland,Australia,74.2,80.8,77.8,79.7,80.4,89.3,88.6,88.8
82,Heidelberg University,Germany,63.4,62.3,61.3,61.3,63.1,62.8,62.7,64.7
83,University of Utah,United States,22.5,23.3,25.2,25.5,27.5,30.1,32.5,33.0
84,Durham University,United Kingdom,65.7,75.8,77.7,76.8,80.4,86.4,87.0,89.0
85,London School of Economics and Political Science,United Kingdom,99.5,96.0,87.2,81.7,87.4,93.6,91.0,92.2
86,University of Manchester,United Kingdom,79.1,80.4,77.9,80.9,82.0,87.0,87.0,88.7
87,"Royal Holloway, University of London",United Kingdom,92.9,93.3,92.5,92.6,94.4,92.7,93.0,93.0
88,Lund University,Sweden,56.8,61.2,64.4,67.4,70.1,74.1,74.6,76.1
89,Wake Forest University,United States,24.4,17.2,19.0,23.7,26.0,24.2,26.1,28.2
90,University of Zurich,Switzerland,87.9,87.4,84.1,85.5,86.9,90.4,89.3,90.8
91,University of Southampton,United Kingdom,69.0,78.3,77.4,79.1,82.4,88.4,90.2,92.0
92,McMaster University,Canada,-,72.0,66.9,68.0,69.4,76.1,76.2,78.1
93,University College Dublin,Ireland,87.0,83.2,76.5,79.6,79.4,86.3,88.1,89.3
94,University of Arizona,United States,21.9,28.4,31.3,38.0,38.8,38.6,41.7,43.3
95,University of Basel,Switzerland,91.3,92.4,89.8,91.1,91.2,94.7,94.4,95.9
96,George Washington University,United States,39.6,38.3,36.6,36.0,39.9,48.1,48.0,50.3
97,"University of Maryland, College Park",United States,35.4,35.3,40.4,42.4,44.8,43.5,36.7,39.0
98,Dartmouth College,United States,31.0,30.6,31.5,32.7,33.1,38.3,37.9,39.1
99,École Normale Supérieure de Lyon,France,37.6,58.8,61.0,63.3,64.4,65.6,68.4,67.3
100,Technical University of Munich,Germany,85.3,65.2,61.5,63.1,64.0,63.8,66.6,66.8
101,University of Helsinki,Finland,24.2,46.8,48.3,51.3,49.7,51.8,52.2,53.3
102,University of St Andrews,United Kingdom,85.7,89.1,86.3,88.8,90.5,92.3,94.3,95.5
103,Rensselaer Polytechnic Institute,United States,48.0,32.7,32.9,35.6,42.8,40.3,43.1,46.2
104,"Rutgers, the State University of New Jersey",United States,26.8,25.3,27.9,31.4,34.3,34.7,35.6,39.2
105,Purdue University,United States,62.6,52.6,54.8,60.6,64.3,66.4,67.7,69.9
106,University of Cape Town,South Africa,83.3,73.9,75.1,77.2,76.7,80.2,80.1,81.1
