,name,location,2011,2012,2013,2014,2015,2016,2017,2018
68,"University of California, Santa Cruz",United States,38.3,28.5,32.1,25.9,30.6,31.1,34.7,31.5
69,Yeshiva University,United States,63.5,43.6,51.7,47.3,45.2,44.8,,
70,University of Sydney,Australia,49.8,55.4,59.5,47.4,52.8,54.3,51.3,50.2
71,University of Virginia,United States,62.0,37.0,55.9,49.7,48.7,38.8,53.7,52.4
72,University of Adelaide,Australia,46.5,32.2,37.3,28.7,33.8,32.8,37.1,35.9
73,University of Southern California,United States,65.4,65.8,68.4,58.7,55.2,49.3,50.5,49.8
74,William & Mary,United States,53.1,40.0,41.3,37.2,36.8,38.5,40.8,44.9
75,Trinity College Dublin,Ireland,47.7,30.3,41.9,33.1,39.4,45.5,44.2,45.3
76,King’s College London,United Kingdom,48.5,49.8,53.5,56.2,55.6,64.5,61.5,59.3
77,Stony Brook University,United States,48.5,37.7,38.8,32.5,32.8,32.6,34.7,33.0
78,University of Sussex,United Kingdom,42.4,30.6,34.9,29.5,31.9,33.4,32.6,34.1
79,Korea Advanced Institute of Science and Technology (KAIST),South Korea,71.3,64.2,69.9,65.6,63.5,43.3,55.7,56.3
80,University of York,United Kingdom,47.9,36.7,41.9,31.7,32.2,41.9,42.5,40.5
81,University of Queensland,Australia,51.8,47.5,54.4,43.4,45.8,49.2,49.7,47.6
82,Heidelberg University,Germany,59.2,57.1,61.4,57.8,52.6,68.8,66.7,63.6
83,University of Utah,United States,55.8,42.1,43.3,39.4,38.8,35.6,37.9,37.2
84,Durham University,United Kingdom,39.8,32.5,42.3,38.3,37.2,47.9,43.0,44.8
85,London School of Economics and Political Science,United Kingdom,62.4,66.4,70.8,65.2,65.4,69.8,70.8,71.8
86,University of Manchester,United Kingdom,56.5,59.0,65.9,54.5,58.1,58.4,58.2,56.3
87,"Royal Holloway, University of London",United Kingdom,37.7,28.6,30.5,30.4,29.1,35.1,33.3,33.9
88,Lund University,Sweden,46.3,40.4,43.6,30.1,32.6,39.7,41.3,40.8
89,Wake Forest University,United States,54.6,36.4,37.5,36.1,33.3,34.6,37.8,34.8
90,University of Zurich,Switzerland,56.6,56.7,50.0,38.0,40.2,49.5,46.4,42.0
91,University of Southampton,United Kingdom,50.8,35.6,37.9,33.2,35.2,39.8,39.2,37.9
92,McMaster University,Canada,44.7,41.9,42.3,35.3,38.1,39.8,43.5,45.6
93,University College Dublin,Ireland,42.4,25.2,31.1,27.1,31.7,35.0,31.5,29.2
94,University of Arizona,United States,52.4,45.1,47.0,39.4,44.9,38.7,42.9,44.3
95,University of Basel,Switzerland,50.2,38.9,37.1,39.1,41.2,39.5,40.1,39.8
96,George Washington University,United States,60.6,44.2,48.1,45.6,44.6,44.7,47.1,44.8
97,"University of Maryland, College Park",United States,45.4,41.1,44.9,39.0,36.5,45.0,51.0,49.6
98,Dartmouth College,United States,44.7,44.8,47.5,38.5,38.3,50.7,58.6,58.5
99,École Normale Supérieure de Lyon,France,51.1,35.3,40.8,37.1,38.1,41.6,44.5,40.1
100,Technical University of Munich,Germany,50.4,50.0,51.2,48.2,45.6,61.0,61.0,60.3
101,University of Helsinki,Finland,49.0,39.3,42.8,35.5,37.5,48.4,47.0,45.7
102,University of St Andrews,United Kingdom,44.8,37.1,43.2,36.9,35.7,49.7,45.2,42.9
103,Rensselaer Polytechnic Institute,United States,50.5,31.7,36.2,30.7,30.9,30.4,33.6,28.9
104,"Rutgers, the State University of New Jersey",United States,53.4,51.6,50.9,43.4,40.5,43.9,47.7,43.0
105,Purdue University,United States,57.0,56.6,59.8,53.7,47.8,50.2,57.2,62.3
106,University of Cape Town,South Africa,36.6,34.3,34.7,26.3,26.8,34.9,32.4,30.5
107,National Tsing Hua University,Taiwan,52.2,42.7,45.5,39.5,39.4,37.7,38.7,38.0
108,Seoul National University,South Korea,62.3,64.6,76.7,76.4,75.5,66.5,70.2,69.3
109,Pennsylvania State University,United States,46.3,53.5,55.0,55.3,54.6,50.4,55.6,53.6
110,Hong Kong Baptist University,Hong Kong,32.9,20.0,22.9,20.7,21.2,22.6,23.3,22.0
111,Bilkent University,Turkey,34.3,27.9,34.7,24.4,28.0,23.5,23.4,23.3
112,Tokyo Institute of Technology,Japan,62.9,56.0,58.0,52.4,53.5,45.6,48.4,49.5
113,Eindhoven University of Technology,Netherlands,55.4,35.6,44.1,37.3,38.3,34.3,36.6,41.3
114,National Taiwan University,Taiwan,50.3,47.8,56.4,47.1,48.8,54.1,51.4,50.4
115,University of Hawai’i at Mānoa,United States,38.3,31.3,,,35.1,32.0,34.2,37.3
116,"University of California, Riverside",United States,38.6,27.8,29.1,25.9,29.4,27.5,32.0,30.0
117,University of Geneva,Switzerland,46.6,34.9,36.2,31.4,34.5,34.9,37.4,35.8
118,KU Leuven,Belgium,57.7,52.5,59.7,48.6,53.0,59.9,57.0,54.2
119,Nanjing University,China,52.2,40.9,41.3,36.8,34.6,37.2,41.7,49.6
120,Queen Mary University of London,United Kingdom,39.7,29.0,33.1,31.0,32.4,34.1,34.0,32.8
121,Technical University of Denmark,Denmark,46.2,31.9,37.9,38.9,39.9,37.3,38.3,35.9
122,Michigan State University,United States,50.4,47.4,51.8,50.0,51.1,47.3,51.6,55.1
123,Leiden University,Netherlands,47.3,45.4,54.0,41.9,45.0,50.5,46.1,44.6
